"Tweets","Sentiments"
"can we we have a future where Cortana show me MSFT closing price every day at pm actua",0
"fankat So

You didnt surrender that AI

 ",1
"These figures say a lot Also if one tracks embedded voice rec software then will feature prominently an",2
"csit announces new conversational center of excellence to work alongside other AI initiatives like Intel",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"Microsoft acquires company to make and sound more human via",0
"Are you trying to build your own  but with custom voice models Look no further with the New M",2
"In case you missed this true story Amazons digital assistant is recording everything you say not just after the",0
"Yes they are listening always listening 
  
An Amazon Echo recorded a fam",2
"is pretty cool
So is the 
I just automated my AC
With Styrofoam and hot glue",2
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"The leader of the edUAUBCedUBEUAEedUAUBDedUBAUedUAUBDedUBU",2
"is useless It seems like it always goes to the Web when the app is installed",1
"Edelman Software Could Help Anyone Unlock Your Computer ",0
"Software Could Help Anyone Unlock Your Computer",0
"Inaudible Signals can be used to hijack controlled digital assistants like",0
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"Laura just asked what her favourite food was she replied chips silicone rather than organic edUAUBDedUBUB",2
"can be fooled by to give them access to your via 

 https",1
"Agree was valuable asset to test development of the in zero gravity Daily  She never t",2
"Microsoft acquires company to make and bots sound more human",0
"can be fooled by to give them access to your via 

 https",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"Virtual assistants should be able to handle at least two different languages at the same time This would be a ga",0
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"can be fooled by to give them access to your via 

 https",1
"Software Could Help Anyone Unlock Your Windows Computer via",0
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"can be fooled by to give them access to your via 

",1
"My new design 
  ",2
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"Fixes Lock Screen Bypass Flaw",1
"Isamashii Set Me Free Yuri Tag
Eden from Rez amp Cortana from Halo
Nuff said

 ",2
"Set Me Free Yuri Tag
Eden from Rez amp Cortana from Halo
Nuff said
",2
" How to Turn Off Cortana on a Windows PC",0
"seems to be doing updates for  This must be the first time",0
"Heres how Amazons Alexa will work with Microsofts Cortana ",2
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"fixes critical amp important vulnerabilities the most critical vulnerability affects  w",1
"Things to Disable On Windows",1
"in Microsoft Windows Exploiting 

",1
"Microsoft fixes Cortana flaw that let hackers bypass Windows s lock screen via w Th",1
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"Critical flaw in allowed access to sensitive files in locked devices",1
"Critical flaw in Cortana allowed access to sensitive files in locked devices",1
"can summon to break into  PCs",1
"Probably in some docs somewhere but after my Invoke wouldnt enter Bluetooth pairing using the button i tried He",0
" Allows Hackers to Break into your Locked Windows PC",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
" Allows Hackers to Break into your Locked Windows PC",1
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
"hey where is the checkbox to say never show me football things again I know how proud you are of a new skill but",2
"hey where is the checkbox to say never show me football things again I know how proud you are of a new s",2
"Voice assistants are starting to get hot in the business world ",1
"Is your computer up to date Our clients covered under one of our monthly maintenance plans are Contact us to find",2
" Allows to Break into your Locked PC
",1
" Allows to Break into your Locked PC
",1
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"has patched a flaw in its virtual assistant that could enable hackers to bypass the lock screen",2
"Huge  allowed an attacker to  lock screen ",1
"Researchers Find That Can Be Used To  PCs",0
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
"If youre interested in especially as a performance support tool then you should book onto",2
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"Feeling so happy that we have men and women in a workshop designing alternatives to",2
" vulnerability has been patched  Update",1
"Hey Cortana how security dumb are intelligent digital assistants",2
"Want to access some files on your locked Win is here to help feature discontinued with recent patch",1
"Which also means you can execute from within how awesome is that Press WinKey paste Powe",2
"News Cortana Hack Lets You Change Passwords on Locked PCs

 ",1
"Microsoft fixes Cortana flaw that let hackers bypass Windows s lock screen",1
"Hey can you this PC 
 ",0
"com  has been patched",0
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
"Could Help Anyone Hack Your Computer
",1
"Security Hole Docker Hub Woes and Intel FPU Speculation Vulnerability
 ",1
"Matters
 how do you spell",0
"com  has been patched",0
"Software Could Help Anyone Your Windows 

",0
"Researchers Find That Can Be Used To  PCs",0
"Researchers Find That Can Be Used To  PCs",0
"Chatbots the good the bad and the ugly",1
"How to Turn Off on a Windows PC",0
"Students find a way to break into PCs using fault in voice assistant",1
"Very funny green screen and Im happy to have with me edUAUBDedUBU",2
"Locked  can leak sensitive via ",1
"Youve heard of  and now meet Erica The virtual financial assistant for cus",0
"might be super helpful at keeping track of your lists but it turns out its not so great at kee",2
"I have several different computersVMS if Cortana bugs me one more time about the world cup",0
"Hey why the advertisement on Win Enterprise with domain joined",2
"I enjoy the lore built up through the books the backstory and whatnot However the last Halo kinda went weird pl",2
"Hack Lets You Change Passwords on Locked PCs",1
"Locked PCs can leak sensitive data via 


 


",1
"com  has been patched",0
"Having pop up the results of the world cup matches is the most investment Im willing to make to keep me i",2
"fixes flaw that let hackers sic bypass Windows s lock screen opt",1
"fixes flaw that let hackers sic bypass Windows s lock screen",1
"This issue is fixed in the latest Windows cumulative update but I would still recommend disabling the Hey Cort",1
"Hey Cortana did Patch Tuesday fix a serious lock screen bug
",1
"If you get the error message Start menu and have stopped working look here",1
"com  has been patched",0
"com  has been patched",0
"has been patched",0
"Daily on soccer world Cup",0
"I thought that excruciating ad finished this lots career",1
"There it is can summon to break into  PCs  via",1
"Good morning attendees Its the last day of the conference but therere lots of awesome sessions today Incl",2
"How to Turn Off on a  PC",0
"Hackers can summon  to break into Windows PCs",1
"which digital assistant is the funniest  or  tested their in",2
"Good morning attendees Its the last day of the conference but therere lots of awesome sessions today Incl",2
"June Patch Tuesday Issues Fixes For ",0
"Software Could Help Anyone Unlock Your  Computer

",0
"Locked  can leak sensitive via",1
"Helps Hack Locked Computers
",2
"Cortana Software Could Help Anyone Unlock Your Windows Computer",0
"If you get the error message Start menu and have stopped working look here",1
"Hey why the advertisement on Win Enterprise with domain joined",2
"Good morning attendees Its the last day of the conference but therere lots of awesome sessions today Incl",2
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Microsoft fixes Cortana flaw that let hackers bypass Windows s lock screen",1
"Hey why the advertisement on Win Enterprise with domain joined",2
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"can summon to break into PCs via ",1
"Good morning attendees Its the last day of the conference but therere lots of awesome sessions today Incl",2
"Good morning attendees Its the last day of the conference but therere lots of awesome sessions today Incl",2
"June  Issues Fixes for",0
"Good morning attendees Its the last day of the conference but therere lots of awesome sessions today Incl",2
"Hackers can summon to break into Windows PCs The Verge",1
"security flaw lets hackers use to bypass your",1
"Hey did fix a serious lock screen bug",1
"Hey did fix a serious lock screen bug",1
"Hey did Tuesday fix a serious lock screen bug",1
"could have been used to into Windows 
",0
"Microsoft Stops Cortana From Giving People Access To Your PC Toms Hardware",1
"Good morning attendees Its the last day of the conference but therere lots of awesome sessions today",2
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Security Ransomware Holes Play Protect and More
",2
"Software Could Help Anyone Your  Computer

",0
"Security Ransomware Holes Play Protect and More
",2
" Allows to Break into your Locked PC
",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Software Could Help Anyone Unlock Your Computer",0
"This is why we update our computers friends

 ",0
"Hackers can summon to break into 

",1
"Clever research from s team reveals vulnerability simply typing while Cortana starts to listen to",2
"Please make sure to update your operating systems now otherwise might let in some uninvited gu",2
"June Tuesday Issues Fixes for",0
"Hackers can summon Cortana to break into Windows PCs",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Windows users could find Hackers exploiting a weakness in CortanaCortana still has the hump about the Halo fr",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"I realise you arent likely to tell me when but Id there a speaker coming to the UK in the future",0
"Latest patch update by has revealed an easily exploitable vulnerability in the friendly AI ass",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
" Allows Hackers to Break into your Locked PC httpst",1
"Locked Win PCs can leak sensitive data via Cortana ",0
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
" Allows Hackers to Break into your Locked PC",1
"ebg Researchers from have discovered that you can trick into opening up a contextual menu which can then be used f",1
"Lets You Change on Locked PCs

",0
"Microsoft patches the Cortana bug which allows a malicious PowerShell script to run using the lock screen if you have phys",1
"Cortana Hack Lets You Change Passwords on Locked PCs  ",1
"fixes flaw that let bypass Windows s lock screen",1
"Break Into a Locked Windows Device Ask 
edUAUBDedUBUBB
",1
"Dear  surpassed you although she is younger now this",2
" etc are enlightening They help demonstrate as long as these things actually sell ho",2
"Want to Break Into a  Device Ask CVE",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
" discovers executionvulnerability using s",0
"Which Personal Assistant do you like   ",2
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Update Windows now to fix this pesky Cortana security flaw",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"reveals projected growth for voice tech among enterprises with leading the charge",2
"Software Could Help Anyone Unlock Your Computer",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"can summon to break into  PCs",1
"Time to check this out 

Cortana Hack Lets You Change Passwords on Locked PCs",1
"can summon to break into  PCs",1
"Im quite impressed by the innovative and varied ways that gets my eldest daughters name wrong every time",2
"Update Your Now to Fix This Pesky  Flaw via",1
"I disable each time I install anyway",1
"Can Be An Accomplice In Of Locked PCs Patch Now  via",0
" just spammed me with sports even though I have explicitly disabled that interest from the Notebook so why not adve",1
" just spammed me with sports even though I have explicitly disabled that interest from the Notebook so why not adve",1
"to check this out 

Cortana Hack Lets You Change Passwords on Locked PCs",1
"Researchers from have discovered that you can trick into opening up a contextual menu which can th",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Worried about the recent vulnerability With JumpClouds Disable Cortana policy on  you can",1
"Microsoft patches the Cortana bug which allows a malicious PowerShell script to run using the lock screen if you have phys",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Want to break into a locked  device Ask  ",1
"can be used to Windows PCs",0
"can be used to Windows PCs might be super helpful at keeping track of your shopping lis",2
"Microsoft patches the Cortana bug which allows a malicious PowerShell script to run using the lock screen if you ha",1
"Cortana can be used to hack Windows PCs   ",1
"Software could help anyone unlock your computer",0
"June Patch Tuesday Issues Fixes for DNS",0
"Time to check this out 

Cortana Hack Lets You Change Passwords on Locked PCs",1
"to check this out 

Cortana Hack Lets You Change Passwords on Locked PCs",1
"Time to check this out 

Cortana Hack Lets You Change Passwords on Locked PCs",1
"No it most definitely isnt",0
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
" just spammed me with sports even though I have explicitly disabled that interest from the Notebook so why not adve",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
"Our blog on vulnerabilities on Windows Cortana is now live see below for full details and insight on this interesting at",2
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
"kaspersky This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit in the",1
" is a rudderless product with no vision It is sad to see it go down like this",2
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit",1
"party time edUAUBDedUBUedUAUBDedUBUedUAUBDedUBU


  ",0
"party time edUAUBDedUBUedUAUBDedUBUedUAUBDedUBU


  ",0
"party time edUAUBDedUBUedUAUBDedUBUedUAUBDedUBU
",0
"Alright You all have done an amazing job thus far with 

She has unique personality and does e",2
"Voice assistants are starting to get hot in the business world ",1
"This weeks patch Tuesday fixes critical bugs including a DNSrelated remote code execution flaw and an exploit",1
" just spammed me with sports even though I have explicitly disabled that interest from the Notebook so why not adve",1
"just spammed me with sports even though I have explicitly disabled that interest from the Notebook so w",1
"popped up to tell me how useful it can",2
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"Hack Lets You Change Passwords on Locked PCs v",1
"patched a in  that allowed to access a locked PC amp even",0
" alles derselbe shit",1
"Microsoft has issued a Windows security update to prevent hackers from breaking into PCs using Cortana",1
"hack lets you change your password on locked PC
",1
"Cortana Software Could Help Anyone Unlock Your Windows Computer
 ",0
"is highlighting how to quickly get uninstalled",0
"Software Could Help Anyone Unlock Your Windows Computer",0
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Can Be An Accomplice In Burglary Of Locked PCs Patch Now via",1
"Can Be An Accomplice In Of Locked PCs Now via",0
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"Can Be An Accomplice In Burglary Of Locked PCs Patch Now via",1
"Me with 
 ",0
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"can summon to break into PCs

",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"Cortana Hack Lets You Change Passwords on Locked PCs",1
"June  Issues Fixes for",0
"June  Issues Fixes for",0
"A new survey of IT pros found that percent of businesses want to implement Cortana into their operations over the next two y",2
"releases patches for critical bugs in  DNS and more servi",1
"A new survey of IT pros found that percent of businesses want to implement Cortana into their operations over the next two y",2
"A new survey of IT pros found that percent of businesses want to implement Cortana into their operations over the next two y",2
"A new survey of IT pros found that percent of businesses want to implement Cortana into their operations over t",2
"I always thought Cortana was annoying but this changes things She can be helpful too",0
"releases patches for critical bugs in  DNS and more servi",1
"can summon  to break into ",1
"The battle of the assistants should definitely include",2
"Register for The Voice of Healthcare Summit Tuesday August Boston MA here via 

",0
"June  Issues Fixes for",0
"June  Issues Fixes for",0
"June  Issues Fixes for",0
"June Microsoft issues fixes for DNS Via",0
"June  Issues Fixes for",0
"Critical in enabled execution of commands on locked devices",1
"Thanks for keeping me updated with the World Cup",2
"releases patches for critical bugs in  DNS and more",1
"can summon to break into PCs",1
"Hackers can summon Cortana to break into Windows PCs",1
"Dont count out Study predicts Microsofts will rival Amazon and Google in us",0
"Critical flaw in Cortana enabled execution of commands on locked devices ",1
"Hackers can summon to break into Windows PCs",1
"can summon to break into PCs",1
"The June  Update Review",0
"Hackers can summon to break into Windows PCs",1
"dont miss out on any of the action with notifications",2
"Using to break into Windows systems via UULabsU Tldr Patch your systems",1
"Hackers can summon to break into  PCs",1
"Great minds Think alike 
Apparently both Labs and us independently discovered and reported the arbitrary c",0
"Vulnerability Allows Windows to Be Hijacked Even When Locked ",1
"Vulnerability Allows Windows to Be Hijacked Even When Locked ",1
"Vulnerability Allows Windows to Be Hijacked Even When Locked ",1
"Im going to Short your Stock every day you keep from talking to the Internet",0
"Great minds Think alike 
Apparently both Labs and us independently discovered and reported the arbi",2
"When your Jarvis goes for the extramile to help you  ",0
"Thanks for keeping me updated with the World Cup",2
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices ",1
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices ",1
"will helpfully let you break into locked Windows PCs",1
"will helpfully let you break into locked Windows PCs ",1
"June Microsoft issues fixes for DNS",0
"Ohhh Mto Goddd thanks Microsoft
 ",2
"needs to learn how to break the ice before its starts overpromising",2
"Offs Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"Jumpstart your learning using  Win Stratis tshirts Invoke speaker Thank you",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"June  Issues Fixes for",0
"Critical security flaw in Cortana allowed execution of Powershell commands on locked devices",1
"New Vulnerability Could Allow Cybercriminals to Bypass Lock Screen On Devices",2
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"Critical flaw in Cortana enabled execution of PowerShell commands on locked devices",1
"June Patch Tuesday Issues Fixes for  via",0
"June Microsoft issues fixes for DNS",0
"June Microsoft issues fixes for DNS",0
"Register for The Voice of Healthcare Summit Tuesday August Boston MA here via 

",0
"It was a nice surprise to have a notification about the stocks I track in MSN MoneyI routinely check th",2
"If you get the error message Start menu and have stopped working look here",1
"Which Personal Assistant do you like   ",2
"June Microsoft issues fixes for DNS",0
"June Microsoft issues fixes for DNS",0
" Introduction to   is part of a larger course M",0
"Watch out Google Assistant and Alexa Here comes Cortana
 via ",0
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Want to Break Into a Locked Windows Device Ask CVE Congrats to Cedric Cochin and",2
"Register for The Voice of Healthcare Summit Tuesday August Boston MA here via 

",0
"Register for The Voice of Healthcare Summit Tuesday August Boston MA here via 

",0
"Register for The Voice of Healthcare Summit Tuesday August Boston MA here via 

",0
"Register for The Voice of Healthcare Summit Tuesday August Boston MA here via 

",0
"Dont count out Study predicts  will rival and in",0
"Register for The Voice of Healthcare Summit Tuesday August Boston MA here via 

",0
"Youve heard of  and now meet Erica The virtual financial assistant for customers",0
"Youve heard of  and now meet Erica The virtual financial assistant for cus",0
"Our blog on vulnerabilities on Windows Cortana is now live see below for full details and insight on this inte",0
"Smart Speakers and Millions of Opportunities for Developers ",2
"Jumpstart your learning using  Win Stratis tshirts Invoke speaker Thank you",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Nobody is going to ask to talk to",2
"If you get the error message Start menu and have stopped working look here",1
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Machine Learning AI session by 
 
",2
"Machine Learning AI session by 
 
",2
"business   what comes to mind when you hear these names",0
"Machine Learning AI session by 
 
",2
"Machine Learning AI session by 
 
",2
"Machine Learning AI session by 
 
",2
"Hey Cortana why would and misspell the product name of the voice activated speake",0
"Thank you Really looking forward to continuing the story  i",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"Thank you Really looking forward to continuing the story  i",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on",2
"How do you make a  angry Escalate     ",1
"is the next   halo",0
"business   what comes to mind when you hear these names",0
"If you get the error message Start menu and have stopped working look here",1
"My Sufacepro suggest I ask when the game is needles to say I need a new laptop mine got th",2
"This stylish Cortana

",2
" You just didnt update your bio and selectively edit the settings",0
"When Im not going to bed yet Daily",0
"Overview of Cortana Skills Kit
",0
"of course is best for me",2
"is coming

",0
"The latest Windows Phone News",0
"Thought Id have a play with tonight USELESS In fact I think its even dumber than Trump Recognition",1
"Negative Outcome Not Good    ",1
"The future of Cortana is all about helping you work better on Windows and beyond",2
"For me and fall into the same category Things that spam you while you are trying to do get things done",1
"Understanding Technical Debt in Software Testing
  ",2
"Find out how and machine learning technologies such as  and  will affect",2
"Is the chip being used by now a brand new AI in Infinite Id like to think its an old",2
"Find out how and machine learning technologies such as  and  will affect mar",2
"Find out how and machine learning technologies such as  and  will affect",2
"Xbox One To Support Alexa amp Google Assistant Soon ",2
"Understanding Technical Debt in Software Testing",2
"Windows Phone Features I Cant L   ",0
"Homemade  Device with Arduino",0
"If I could find out whoever made it so you CANT SHUT OFF I would",0
"its not free New W update should solve this problem of texting from the PC You can actually text from",2
"Cortana help me to configure my laptop computer ",0
"Why not edUAUBDedUBU ",0
"Setting up microphone function for your edUAUBDedUBUBD PC is faster than choosing a character for",2
"Had a new laptop running for all of minutes and already hate and  

If I want to install",2
"Something along these lines might be something for to add to being able to talk to other digital assistants",2
"When can we say is dead in the consumer space",1
"Daily",0
"While the press focuses on the dont look at  with one of the worst",1
"Look closely and tell me what you see   ",0
"I really really want to use but the proactive cards have been removed from  was kille",2
"demonstrates and integration",0
"If you get the error message Start menu and have stopped working look here",1
" By now you probably know all of their names for personal use But did you know",0
"For no particular reason I would like to hear     and perhaps",2
"Is there no place I can go no Windows product I can buy that is free from the scourge known as",0
" what comes to mind when you hear these names",0
"Threeandhalf hours later the new update has still to finalise Complete with the unwanted u",2
"FRIDAY Shaping up to be a pretty chill weekend relaxing with friends edUAUBDedUBUB

 ",2
"If you get the error message Start menu and have stopped working look here",1
"will you PLEASE allow us adults to control the level of language filtering on  Im an",2
"Microsofts and Amazons Are Now Working Together Adweek",2
"Hum What about the easy sharing of files between devices  that we own without having to c",2
"FRIDAY Shaping up to be a pretty chill weekend relaxing with friends edUAUBDedUBUB

",2
"s and  Are Now Working Together",2
"If you get the error message Start menu and have stopped working look here",1
"thanks for the amp like and retweet",2
" and  Are Now Working Together",2
"Poznanovic burnout syndrome",1
"Check out the comparison between vs vs vs  httpstco",0
"and  Are Now Working Together",2
"burnout syndrome",1
"There is nothing in this world I loathe more than yelling at me at blaring volume every time I reset a computer",1
"integration with",0
"Experientialdata questing for mememarket money yields payment of Experience Points  Qu",2
"Humans use bot systems to guide the reallife pursuit amp collection of highdemand scarcelyavailable experiential",2
"Memeeconomy use cases bot responsible for predicting how their host will experience each menuitem at a",2
"Correction not edUAUBDedUBU unveiled the smart speaker Still hope  is added wit",2
"Yeah this was not the best week for Microsoft support
I kinda think theres no such thing as Micro",2
"Will eventually show up on new smartypants speaker The obvious big are there Although",2
"edUAUBDedUBU POLL TIME

Whats the most promising industry for voice assistants

 ",2
" what comes to mind when you hear these names 

From business",0
"In todays world Voice Assistant is making a huge impact

I have written a blog on Ways in which Voice command i",0
"business   what comes to mind when you hear these names",0
"From Today we introduce for PC solutions from Original Design Manufacturers Mariel van Tatenhove o",2
"Master Chief Arbiter and Cortana playing splitscreen A mini LAN party This is NOT my art nor am I taking credit",2
" what comes to mind when you hear these names",0
"Master Chief Arbiter and Cortana playing splitscreen A mini LAN party This is NOT my art nor am I taking credit",2
"Master Chief Arbiter and Cortana playing splitscreen A mini LAN party This is NOT my art nor am I taking cred",2
"xt Hi who is s GF",0
"yep we canceled ours because of the house upgrade
I just wish could have a bit of discipl",2
"From Today we introduce for PC solutions from Original Design Manufacturers Mariel van T",2
"is the most popular personal assistant today in the enterprise ",2
"is the most popular personal assistant today in the enterprise ",2
"Microsoft acquires company to make and sound more ",0
"Microsoft acquires company to make and sound more ",0
"Seo Hyelin of as from video game series
 ",0
"I havent connected mine yet but it looks like Ill be doing that tonight 
",0
"Give Github some XP flair

For Memories

",2
"I feel these are the exact things has been lacking for quite some time There is very litt",1
" what comes to mind when you hear these names",0
"Advances in AI will be an iteration of the convergence of todays buzzwords big data cloud computing biometric v",2
"Which of the following has Jennifer Taylor NOT voiced 
edUAUBCedUBUA       edUAUBCedUBUA 
edUAUBCedUBUA or edUAUBCedUBUA",0
"Are children developing rude interpersonal skills by watching adults bluntly interact with  or",1
"I tried to use on a Windows Phone but was told that I need to be older before it will help me and I a",0
"Is This Fun In Its Raw Form 
Shall We Ask  amp 

More Info amp Booking",2
"Daily",0
"How voice assistants will make money  ",2
"Finally got a chance to crystalize my thoughts on Microsoft build conference Over sessions so lots to abs",2
"shoutouts to automatic updates and edUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUA",0
"Alexa finally learns French trails other assistants to France",2
"If you get the error message Start menu and have stopped working look here",1
" and A new study shows that digital assistants are improving year on year",2
